steps,reward
44122,9.830299847610787,9
44471,-19.470744918839316,100
44340,-4.461948325700469,100
44538,7.224624968414528,77
44881,-3.718781185987944,100
44829,-11.921546088587544,100
45473,-34.201229585360956,100
45300,9.92945372554341,5
49792,-2.7157557076617973,100
50112,9.481619721522394,28
50905,-2.984400694498392,100
50967,-25.95105355132439,100
51019,-9.765743817079514,100
51177,-5.6263468845309355,100
51216,-3.898015375972081,100
51465,-14.090422813076348,100
51544,-6.029084209497192,100
51621,-19.757824438456833,100
51882,9.440396690010651,27
52388,-11.329114269600488,100
52417,-12.16473580688423,100
52765,-41.62747696487418,100
56458,-23.735314074479074,100
57325,10.0,1
57771,-34.14374351061758,100
57896,-5.770447302770591,100
57980,-27.84015227440157,100
58152,-11.11870819570266,100
58415,8.963214444648305,50
58430,-4.605184218911926,100
58517,-7.034071547844642,100
58768,9.94991266847962,4
59044,9.737005635241745,14
59804,10.0,1
60038,-7.311764071251608,100
59927,-9.06894056394649,100
63804,9.303302655094585,14
63876,9.820975515045216,11
64373,9.41641416322961,22
64654,9.953023846425769,3
64886,-10.287707824168209,100
65072,8.839648801358404,52
65407,-2.813737278917167,100
65459,-5.901784828831577,100
65820,9.927873190964553,4
65850,-26.007982566865792,100
66370,-2.788118534177915,51
66675,-4.203952322021666,100
66449,-5.583164571757981,100
67142,-41.82288602010116,100
70896,-18.337436181281504,96
70822,8.252532366411469,60
71107,9.487788193333218,24
71166,9.419897159540996,30
71219,-28.79443122376233,100
72589,-41.1087078896835,100
72719,10.0,1
72534,9.942238511237496,4
72806,5.929494488893802,24
73344,9.850318316596791,8
73502,-12.356049789032403,100
73753,9.780914961336945,13
73775,-3.6373846539812864,100
74680,-11.94571258323968,100
77068,-7.01114807805948,100
77734,9.99231348043196,1
77840,-27.329935044440045,100
78023,9.947553334313945,4
77915,-31.492773288423898,100
78772,1.8512522690576603,80
78813,-2.852343438213263,100
79129,-22.636742822104186,100
80029,9.663759507464391,13
80051,10.0,1
79850,5.326680425381336,83
80333,-36.704440988797515,100
80731,-3.9801499826815503,100
80766,7.165044124933493,48
83343,9.904725634519794,6
84550,-5.357384040626233,100
84710,-5.144603963690073,100
84816,-6.001266533946926,100
84598,-2.753643298541661,100
85321,9.960125951905482,3
85770,-8.788577342104718,100
85957,-8.004945839176512,100
86402,-3.64343817891126,100
86492,9.706662069736774,13
86775,-4.733439516846449,100
86756,-3.3960493773865608,100
87242,9.856015347339053,8
87568,-3.584022989496153,100
90434,-4.982860592344563,100
90525,-6.3220539402363345,100
91200,7.994504422367871,33
91210,-5.796408223691216,100
91217,10.0,1
91330,10.0,1
92268,9.90778074782502,5
92767,9.715553125642735,13
92816,10.0,1
93239,-29.868902109208648,100
93155,-20.847752451624462,100
93695,9.603134339728323,21
93751,10.0,1
93980,-3.841372145220625,100
96507,8.144845743866904,19
96497,9.835010943106663,10
96609,-4.593605911077948,100
97772,9.766084526988674,11
97486,-6.858113195310632,100
97668,9.967671622587643,2
98817,9.594091550451768,18
98891,-3.090768817839227,100
98680,-9.910758073613922,100
99133,-3.249500482808601,100
98985,-27.72543943494308,100
99935,9.969410626389578,3
100022,9.607764591123056,18
100024,-4.335491213580439,100
102694,9.915908618519927,5
102591,-14.024183162233202,100
103064,-26.937670965371467,100
103126,9.652888203717977,18
103351,9.637653988068923,17
102989,9.961529854926665,3
104168,-3.785642716697068,100
103970,9.828342267540018,9
104567,8.086050351427673,77
104473,9.758945662963953,11
104848,9.81696258688194,9
104931,-3.4245774130022943,100
105402,-9.592924150974044,100
105733,9.813592223713433,10
106976,9.826912240936291,9
108374,-12.020441484862465,100
108443,-16.14861156543854,100
108097,9.820926697316166,11
108731,9.272681995156262,31
