steps,reward
72853,7.545719377845954
73722,9.940027230205812
73742,9.846009785174104
73945,-4.209176097
74208,9.702982808
74887,-15.57770271
75224,9.996540403172931
75361,-11.906038
75273,9.991861735752623
75941,-13.96999047
75784,-41.29956733
75864,9.256839165850344
76293,10
77539,-11.34893678
79378,9.88968991
79881,5.872063641000219
80489,7.354891405977119
80532,-14.06927902
80504,-10.36048001
81668,-5.742653556
81378,-15.44979264
81859,-25.56427973
81572,9.934811251494176
81883,-11.26310371
82079,-5.325034474
82490,-24.38338724
82930,2.710411061393631
83213,-14.81444912
85276,10
86427,-10.67930332
86500,-14.68188253
86654,9.635389858807724
86882,9.940099129738062
87600,9.499733342219006
87310,-11.16985891
87620,10
87441,-41.68722834
88068,-12.44513996
88325,9.867173023
88751,9.690931446369193
89379,-23.14726902
89982,-8.614688146
91995,-19.31236234
92283,8.590427211543965
92370,-14.59233921
92250,-16.52678567
92651,10
92823,10
93480,10
93311,-9.493036921
93695,10
93951,10
94060,-27.61102137
94439,10
95525,10
96330,-23.02615613
98354,-13.28729299
98644,-11.99952506
98731,-11.68149648
98972,7.643766833031875
99081,-16.5453971
99184,10
99257,9.995974044966331
99702,-11.17608506
100193,10
100468,-11.39295191
100543,6.945247240321484
100856,-13.64031013
102253,-6.056340599
102729,9.971459261508224
103865,9.299431651
104192,-41.04861272
104256,-8.630406222
104899,-10.80248681
105425,-10.83326286
105495,-17.70161365
105526,-10.35157618
105874,10
106010,-24.71759002
106418,-17.58456653
106665,9.754528358604452
107607,4.990887536126163
108479,-35.94775156
109151,10
109788,9.702961871408895
109874,-16.72097419
110119,10
111367,-10.80696622
111509,-18.38623336
111853,-6.700086569
111910,-11.78703805
112555,-8.605423758
112304,-25.16311279
112548,3.0339504128204995
113039,-4.143794308
114074,1.460095902696862
114230,-17.36064245
115757,-1.621917743
115602,10
116258,9.772058694721368
116364,9.716214141462041
116650,-8.437985688
116674,9.921610042
116987,10
118442,-14.04389243
118571,9.751485563
118580,10
119056,-10.52437277
119561,-4.264870383
120195,-20.1735056
120556,9.951205392586724
120772,9.913152587341003
122086,-10.0094497
122474,-14.87198723
122471,10
122918,-20.43589468
123103,-16.92551675
123208,8.580871882634208
123215,-12.26855537
125090,-15.41116235
125331,9.808706604857047
125238,-14.40690748
125728,-12.52572655
126426,6.7684811920243195
126673,10
127130,9.954606694
126720,-13.63724666
128323,-11.8392206
128448,10
128566,-9.14355224
128606,-11.51547376
129345,8.590395831281267
130133,-42.89670237
130988,-14.05320347
131569,10
131166,6.041528558704487
131242,5.844251507536065
132258,-41.2139738
131835,10
133639,-27.99166234
133652,9.906396339490335
134378,10
134464,9.351975499914543
134658,-9.288933893
134763,10
135533,-7.702820656
135199,9.974891588423064
137373,8.994238852090369
137568,9.507565259
137309,9.340803876175757
137352,-7.959692589
137852,9.920462950755244
137705,10
138829,-39.38224531
139931,-12.31018017
140727,-36.6591113
140762,-24.38456179
141202,-41.32304419
141313,-37.78684436
141573,-39.32409382
141152,-17.45624372
142757,10
143522,10
143252,10
143435,9.962972734034281
143640,9.562283818083548
144280,10
145239,-16.53898326
145543,-42.91990909
146010,-21.92299599
146503,-34.97258
146599,-8.245249797
147142,10
147370,-7.965089742
147220,9.82746306
148201,-41.33208788
148607,9.916587471
149161,9.871692839295243
149365,10
149070,10
149128,-12.62867751
150249,-19.72124861
150933,-10.06473625
151772,10
152024,-36.91238476
152363,-12.96068109
152582,-41.33753218
152604,7.915365780976954
152727,10
152648,-13.92007725
153906,-14.2179989
154550,10
154469,-11.4411872
154511,10
155455,-39.81530144
156127,10
156393,9.992648268309436
157563,-5.908015554
157719,5.965648049914969
158212,-11.09497005
158222,-9.15526928
157805,9.652441792064893
158439,9.714991309856757
158462,-14.03283642
158338,-7.256760133
159206,9.853443599
160162,-5.193919417
159604,-31.63419587
160230,-7.82016049
160759,-12.03425868
161215,9.709045877064652
162145,10
162651,10
163172,9.655539799386226
163413,9.013636483036459
162851,-36.88169074
163036,-29.580844
163788,-20.20650187
163523,9.926231575901681
164349,-26.91889712
164446,9.929297570247293
165110,4.846009110081456
165781,9.976977120432707
166089,-4.184174736
166625,-22.4349289
