Wall time,Step,Value
1707172891.886454,141908,-1.0
1707172891.88694,141922,9.520000457763672
1707172891.887471,141939,9.399999618530273
1707172891.887935,141941,10.0
1707172921.959482,141954,9.550000190734863
1707172921.96019,141957,9.960000038146973
1707172921.960661,141959,10.0
1707172921.96111,141961,10.0
1707172921.961657,141987,-1.0
1707172921.962101,141996,9.690000534057617
1707172921.962626,141998,10.0
1707172921.96308,142000,9.979999542236328
1707172921.963604,142004,9.890000343322754
1707172921.964066,142006,10.0
1707172921.964705,142014,9.75
1707172952.773322,142023,-2.2799999713897705
1707172952.774685,142035,-2.4000000953674316
1707172952.775168,142039,-2.0799999237060547
1707172952.775725,142041,-2.0
1707172952.776216,142048,-2.2100000381469727
1707172982.993444,142059,9.640000343322754
1707172982.99407,142080,-2.759999990463257
1707172982.99453,142090,-2.3499999046325684
1707173013.315559,142115,-2.9200000762939453
1707173013.316215,142123,-2.2699999809265137
1707173013.316764,142125,10.0
1707173013.317203,142139,-2.4800000190734863
1707173013.317724,142148,9.720000267028809
1707173044.183419,142174,-1.0
1707173044.184888,142178,-2.0799999237060547
1707173044.186161,142180,10.0
1707173044.186775,142182,10.0
1707173044.187356,142184,10.0
1707173074.598187,142210,-1.0
1707173074.598677,142236,-1.0
1707173074.599368,142255,9.319999694824219
1707173104.622629,142281,-1.0
1707173104.623351,142307,-1.0
1707173134.731742,142333,-1.0
1707173134.732363,142359,-1.0
1707173134.732911,142361,10.0
1707173134.733453,142363,10.0
1707173164.810191,142389,-1.0
1707173164.810903,142415,-1.0
1707173164.811391,142419,-2.0899999141693115
1707173195.053338,142445,-1.0
1707173195.053968,142459,9.520000457763672
1707173195.054475,142473,-2.490000009536743
1707173225.070816,142482,-2.299999952316284
1707173225.071554,142493,-2.3899998664855957
1707173225.072015,142519,-1.0
1707173255.22139,142545,-1.0
1707173255.222045,142571,-1.0
1707173285.926481,142597,-1.0
1707173285.928093,142623,-1.0
1707173316.173476,142639,-2.559999942779541
1707173316.17439,142659,9.279999732971191
1707173316.174974,142675,-2.559999942779541
1707173346.952277,142701,-1.0
1707173346.952836,142727,-1.0
1707173377.183448,142753,-1.0
1707173377.184222,142770,9.399999618530273
1707173377.184701,142772,10.0
1707173407.786264,142798,-1.0
1707173407.786992,142824,-1.0
1707173407.787483,142834,9.680000305175781
1707173407.78799,142836,10.0
1707173407.788478,142838,10.0
1707173438.417842,142864,-1.0
1707173438.418686,142869,-2.1499998569488525
1707173438.419245,142892,-2.8499999046325684
1707173468.939017,142903,-2.359999895095825
1707173468.940103,142913,-2.3399999141693115
1707173468.940893,142935,9.1899995803833
1707173499.316042,142959,-2.8899998664855957
1707173499.316715,142967,-2.2699999809265137
1707173499.317344,142976,9.720000267028809
1707173499.318022,142983,-2.200000047683716
1707173499.318554,142986,-2.069999933242798
1707173533.746955,142991,-2.119999885559082
1707173533.747686,142997,-2.1700000762939453
1707173533.748136,142999,-2.0
1707173533.748577,143006,-2.2300000190734863
1707173533.749075,143013,-2.200000047683716
1707173533.749517,143015,-2.0
1707173533.750053,143019,-2.0799999237060547
1707173563.831347,143021,-2.0
1707173563.832037,143037,-2.559999942779541
1707173563.832583,143050,9.539999961853027
1707173594.198741,143071,9.219999313354492
1707173594.199487,143083,9.59000015258789
1707173594.200178,143099,9.4399995803833
1707173594.200664,143101,10.0
1707173624.248525,143127,-1.0
1707173624.249266,143153,-1.0
1707173624.249749,143164,9.640000343322754
1707173624.250284,143166,10.0
1707173654.318294,143183,-2.5999999046325684
1707173654.319118,143185,-2.0
1707173654.319595,143211,-2.9600000381469727
1707173685.591968,143237,-1.0
1707173685.592656,143263,-1.0
1707173685.593173,143269,-2.1600000858306885
1707173715.806627,143275,-2.1600000858306885
1707173715.807634,143301,-1.0
1707173715.808151,143317,9.429999351501465
1707173746.077589,143323,9.84000015258789
1707173746.078252,143349,-1.0
1707173746.078802,143375,-1.0
1707173776.192625,143401,-1.0
1707173776.193316,143409,9.75
1707173776.193799,143411,10.0
1707173776.194361,143413,10.0
1707173776.19485,143415,10.0
1707173776.195463,143422,9.770000457763672
1707173776.195941,143426,-2.0899999141693115
1707173776.196446,143429,9.930000305175781
1707173806.248379,143438,9.710000038146973
1707173806.249331,143440,10.0
1707173806.249892,143466,-1.0
1707173836.290537,143492,-1.0
1707173836.291173,143518,-1.0
1707173836.291687,143544,-1.0
1707173866.615706,143570,-1.0
1707173866.616458,143596,-1.0
1707173896.889827,143609,9.530000686645508
1707173896.890342,143611,10.0
1707173896.891041,143615,9.920000076293945
1707173896.891599,143623,9.760000228881836
1707173896.892094,143633,-2.319999933242798
1707173927.15449,143659,-1.0
1707173927.155326,143685,-1.0
1707173957.522777,143710,-2.9200000762939453
1707173957.523697,143736,-1.0
1707173987.962064,143762,-1.0
1707173987.962699,143771,9.699999809265137
1707173987.963266,143778,9.779999732971191
1707173987.963797,143783,-2.1499998569488525
1707173987.964382,143790,-2.2200000286102295
1707174018.135601,143816,-1.0
1707174018.136356,143819,-2.0399999618530273
1707174018.136851,143827,-2.240000009536743
1707174018.137379,143835,-2.240000009536743
1707174048.244089,143855,9.279999732971191
1707174048.244735,143863,9.760000228881836
1707174048.245313,143865,-2.0299999713897705
1707174048.245959,143867,-2.0199999809265137
1707174048.24648,143871,-2.0799999237060547
1707174048.247034,143878,-2.2300000190734863
1707174048.247556,143880,-2.0
1707174079.125819,143889,-2.299999952316284
1707174079.126486,143895,-2.1600000858306885
1707174079.12711,143908,-2.450000047683716
1707174079.127623,143910,-2.0
1707174079.128082,143916,-2.190000057220459
1707174109.299822,143918,10.0
1707174109.300554,143923,9.880000114440918
1707174109.301062,143945,9.170000076293945
1707174109.3016,143951,9.84000015258789
1707174139.734024,143977,-1.0
1707174139.736719,143987,9.65999984741211
1707174139.737453,143989,10.0
1707174139.738185,144000,-2.359999895095825
1707174139.738927,144005,-2.1399998664855957
1707174170.299848,144025,9.279999732971191
1707174170.30043,144035,9.65000057220459
1707174170.301119,144051,9.4399995803833
1707174170.301669,144059,9.75
1707174170.302189,144070,-2.359999895095825
1707174170.302747,144079,9.720000267028809
1707174200.86295,144105,-1.0
1707174200.863904,144131,-1.0
1707174231.093779,144157,-1.0
1707174231.094503,144183,-1.0
1707174261.529162,144209,-1.0
1707174261.529865,144223,9.510000228881836
1707174261.530365,144230,9.770000457763672
1707174291.877798,144256,-1.0
1707174291.879324,144282,-1.0
1707174322.202117,144297,-2.5299999713897705
1707174322.20282,144308,9.610000610351562
1707174322.203332,144318,9.680000305175781
1707174322.203797,144344,-1.0
1707174352.473875,144363,9.319999694824219
1707174352.474624,144365,10.0
1707174352.475095,144391,-1.0
1707174384.439085,144417,-1.0
1707174384.439841,144428,-2.379999876022339
1707174384.440355,144447,-2.680000066757202
1707174414.853335,144473,-1.0
1707174414.854146,144484,9.630000114440918
1707174445.076885,144510,-1.0
1707174445.077404,144536,-1.0
1707174445.078127,144553,-2.609999895095825
1707174477.680269,144555,-2.009999990463257
1707174477.680801,144563,9.760000228881836
1707174477.681539,144565,10.0
1707174477.682101,144581,9.4399995803833
1707174477.682578,144583,10.0
1707174477.683069,144598,-2.5399999618530273
1707174477.683825,144605,-2.2200000286102295
1707174509.190901,144631,-1.0
1707174509.191592,144637,-2.1700000762939453
1707174509.192063,144639,-2.0
1707174509.192518,144651,-2.4000000953674316
1707174539.44857,144659,9.760000228881836
1707174539.449218,144661,-2.009999990463257
1707174539.449715,144677,9.40999984741211
1707174539.450218,144679,10.0
1707174569.761203,144705,-1.0
1707174569.762017,144731,-1.0
1707174569.762504,144757,-1.0
1707174599.884821,144783,-1.0
1707174599.886599,144809,-1.0
1707174629.924817,144825,-2.5899999141693115
1707174629.925419,144837,-2.430000066757202
1707174629.925942,144850,-2.450000047683716
1707174660.26295,144876,-1.0
1707174660.263782,144882,-2.1600000858306885
1707174690.285053,144908,-1.0
1707174690.285786,144917,-2.2899999618530273
1707174690.286302,144919,-2.0
1707174690.286785,144921,-2.0
1707174690.287326,144923,-2.0
1707174720.534321,144942,-2.7100000381469727
1707174720.534816,144944,10.0
1707174720.535417,144946,10.0
1707174720.535947,144960,9.520000457763672
1707174720.536422,144986,-1.0
1707174750.790111,145005,-2.690000057220459
1707174750.790995,145031,-1.0
1707174783.17248,145050,9.309999465942383
1707174783.173238,145052,10.0
1707174783.173801,145054,-2.0
1707174783.174318,145080,-1.0
1707174783.174878,145089,-2.2799999713897705
1707174813.670954,145115,-1.0
1707174813.671824,145141,-1.0
1707174843.908535,145147,-2.1600000858306885
1707174843.909235,145152,-2.1399998664855957
1707174843.90972,145178,-1.0
1707174874.67779,145204,-1.0
1707174874.67855,145225,-2.7699999809265137
1707174874.679097,145232,-2.200000047683716
1707174874.679875,145235,-2.069999933242798
1707174904.808333,145239,-2.0799999237060547
1707174904.809064,145243,-2.0899999141693115
1707174904.809583,145251,9.760000228881836
1707174904.810051,145271,9.279999732971191
1707174904.810528,145279,-2.240000009536743
1707174935.021326,145305,-1.0
1707174935.022939,145315,-2.3499999046325684
1707174935.02396,145323,-2.240000009536743
1707174965.067261,145334,-2.3899998664855957
1707174965.068089,145342,-2.259999990463257
1707174965.068609,145354,-2.4000000953674316
1707174965.069164,145356,10.0
1707174965.06967,145358,10.0
1707174965.070234,145360,10.0
1707174965.070728,145363,9.9399995803833
1707174965.07122,145373,9.680000305175781
1707174996.860008,145385,9.59000015258789
1707174996.860761,145388,-2.069999933242798
1707174996.861238,145407,-2.680000066757202
1707174996.861762,145415,-2.240000009536743
1707175030.58822,145441,-1.0
1707175030.588912,145467,-2.9600000381469727
1707175060.723029,145493,-1.0
1707175060.723594,145496,-2.0399999618530273
1707175091.281951,145517,-2.759999990463257
1707175091.282625,145543,-1.0
1707175121.455959,145569,-1.0
1707175121.456566,145595,-1.0
1707175121.457063,145607,-2.4000000953674316
1707175151.851044,145614,-2.2300000190734863
1707175151.852215,145616,10.0
1707175151.852821,145618,10.0
1707175151.853325,145627,-2.2899999618530273
1707175151.854181,145638,-2.359999895095825
