steps,reward
51344,-24.43017820529916,100
51530,-42.854376159769004,100
51551,-41.89308950100808,100
51685,-27.519210555446918,100
51561,-16.788385828927016,100
51586,10.0,1
51864,-34.451389739735006,100
52153,-12.247645898645885,100
52176,-6.8334091248044135,100
52654,-43.081244635076835,100
59067,-10.29402032404848,100
59273,-17.550237781570207,100
59603,-16.08245569091298,100
59628,-19.392094820415466,100
59885,5.937719522134938,72
59950,8.74367545985147,24
59778,-13.507307558434203,100
60251,-42.65188663087924,100
60303,-42.315507134485074,100
60529,-8.97292469862579,100
60798,-22.611630262740796,100
60717,-28.116764004165443,100
61068,-42.6274368568973,100
61714,-42.710181515831735,100
67216,9.988054120122557,1
67647,9.800612607867635,10
67782,-4.596185603279262,100
68087,-25.645395876096252,100
68385,-10.745401264147292,100
68401,-42.36829040322974,100
68420,-9.771474502380034,100
68641,10.0,1
68794,9.627773209258933,5
68643,-15.150192070007295,100
69344,-4.241094036597067,55
69142,-28.626829549968864,100
69686,-9.785719702684775,100
70101,-39.72594409623245,100
75769,-15.23196366639312,100
75593,-12.381753361400465,100
75973,-14.36222555602047,100
76366,-32.27370089372902,100
76689,-26.26975590122014,100
76772,10.0,1
76610,-10.213005124271897,100
76991,-20.46800503035921,100
77191,-11.107043840857342,100
77224,-15.794416049162127,100
77363,9.996182546920172,1
77545,8.892913247240424,7
78060,-17.485187157368593,100
78876,7.4376923096892655,52
83673,-27.436779634054464,100
83521,-22.555477295312773,100
84367,-9.256284763906168,100
84785,8.171721335259262,46
84859,5.101363891696529,24
84930,-11.591148754554986,100
85199,-14.604658589454722,100
84904,-39.745421117199065,100
85581,-11.748761453089397,100
85779,-6.678209648353283,100
85794,-16.837332229966602,100
85974,-37.797259076147576,100
86323,-13.977518307310861,100
87156,-26.832798467340673,100
91594,-42.678842912658176,100
92118,-13.503959265356093,100
92529,-34.92478786141404,100
93156,10.0,1
93317,-7.594108612052603,100
93355,-42.76310774924069,100
93221,-29.596163822513272,100
94034,-42.693085505786605,100
94002,9.99645858357895,1
94383,-16.736033211750918,100
94180,-17.303874890080778,100
94514,-14.13107521342484,100
94605,-5.761743289056552,100
95287,-42.44079325161176,100
100079,-18.573146443672968,100
100954,-16.036918251641616,100
101107,10.0,1
101123,-13.438863678384667,100
101285,10.0,1
101068,-11.391030901835638,100
102036,-15.474388299127508,100
102190,7.970051776439416,17
102707,-25.9371529427785,100
102485,-10.934945006091144,100
102672,-10.058805321486835,100
103128,-23.655579358470916,100
103194,-32.63430865079192,100
104222,-6.007325350407061,100
108466,-12.375008701218022,100
109559,-13.685896421839383,100
109710,10.0,1
109859,-3.156792316228457,100
109547,7.655002104415345,47
110165,10.0,1
110547,-13.980696981215846,100
110800,-16.795762054120054,100
111219,-11.294159644440812,100
111377,-14.153942406780953,100
111020,9.97873960355731,2
111071,9.847864775678943,4
111543,-16.96114674350033,100
112381,7.878500503540003,47
117232,9.49673107382975,26
117809,-6.667087488397479,100
118046,10.0,1
118067,-19.81163133877851,100
118158,-26.942317758151216,100
118590,-10.494490799312578,100
118895,-37.00415595380336,100
118959,-42.529924521502465,100
119560,9.929317575319685,5
119329,-15.915737450587418,100
119445,-11.76654187248566,100
119908,-5.315038798767872,100
120019,-6.954287568068236,100
120728,-3.6181814593017037,100
125148,-10.914832365863257,100
125834,8.552915505989294,30
125972,-25.766364718948516,100
125988,-14.331240427690524,100
127142,-10.9580945494432,100
126731,10.0,1
127261,-11.587302760611406,100
127408,9.992448604889429,1
128124,-8.520656179164861,100
128216,-12.843671509493891,100
127787,9.971376047292685,2
127842,-4.856378191600297,100
129032,-24.680927817245514,100
129058,10.0,1
133655,-11.180082292519858,100
134135,-18.898554407004156,100
