steps,reward
115560,-11.859475098572332,100
115423,10.0,1
116341,-9.316097225205995,100
116131,-31.33445680282007,100
116648,-31.841877451701684,100
116971,-11.348096213771743,100
116599,-18.956048264701717,100
117574,-8.794943381017461,100
117617,-17.096173115235406,100
118362,-10.806886495289596,100
119796,-16.607463535861207,100
121502,8.07494462398099,20
123264,-18.50239578031951,100
123539,-30.407757868864024,100
123920,-42.284375106246806,100
123565,-40.46613704203517,100
124510,-4.354496030378395,100
124619,-11.198213320949971,100
125076,-38.82427568928885,100
125175,-22.11795964708485,100
125344,7.603262960532885,48
126035,10.0,1
126179,8.103279228496913,18
126716,-5.64088083997823,100
127866,-4.466869291411078,100
130053,9.973783924071792,2
131567,-10.124062349088215,100
131631,10.0,1
131807,-39.03807040888925,100
132009,-14.560602605786684,100
132226,-36.7003918654643,100
133135,-11.836120600095674,100
133401,-42.47167139831803,100
133983,-10.08529203031824,100
133675,10.0,1
134561,9.9056907438145,6
134622,-11.014315472320174,100
135654,-27.69727529806888,100
136467,9.981722439256053,2
138426,-36.666345438097615,100
139650,-15.929594885128587,100
139978,1.4969397616870594,84
140008,9.559325300880396,15
140293,-6.964907759045448,100
140401,-26.485311646584954,100
141182,-11.623849306184846,100
141781,-9.169115658648725,100
141330,-24.18648292489144,100
142229,-14.826336139734602,100
142228,-11.426117457160062,100
143004,-5.338921999949501,100
143344,-6.810566229162325,100
144497,-24.824301215809413,100
147094,-29.58358173229055,100
148168,-5.53470339163698,100
148510,-7.963037982022382,100
148513,-7.658402355122852,100
148530,-26.868202408059375,100
148103,-8.802415553102433,100
149030,10.0,1
149826,-16.980840302388476,100
150329,-14.15041761573892,100
150351,-36.903218230791374,100
151037,-7.472670087168977,100
150751,1.5403961838153766,60
151596,-15.45503373669865,100
152940,-1.8883016770364005,81
155775,-10.160669007992015,100
156371,-19.08201689722814,100
156453,-6.796453633716265,100
157032,-32.279348501111954,100
157110,-12.33105307201095,100
157040,-11.026534981780394,100
157075,-4.203818287037533,100
158692,-9.639189986243482,100
158728,-4.5669956646778145,100
158863,-11.942431627659705,100
159819,-10.651157689695912,100
159559,-12.844400635510453,100
160248,-36.88854180689233,100
161749,5.8366489319717765,61
164103,6.115292617195378,40
164237,8.197076661020638,23
164838,10.0,1
165086,-13.058953909474639,100
164744,-16.694063901066798,100
166062,-38.078226417435836,100
165532,-42.935564684086614,100
166815,-42.88756655718012,100
166921,-42.11445113092578,100
167196,-8.50717721531489,100
167279,-9.773875340705688,100
167925,-19.82192462525571,100
168127,8.798356540976746,18
170557,-11.886252737305503,100
172240,-41.76781893099463,100
173215,-5.030327563876414,100
173248,-5.254546312018086,100
173386,-8.959374941203315,100
173910,-42.36476004004764,100
173327,-8.109070291812447,100
174026,-9.5558870473585,100
175339,-6.98631661288792,100
175488,-11.586704234995612,100
175586,-15.6917450042736,100
176024,-42.908490709022885,100
175846,-15.886388721895472,100
176327,-11.191474532818292,100
179511,-42.699418214137744,100
180727,-25.433798973208614,100
181025,9.867112030135614,7
181290,-7.471514587847085,100
181490,9.374060951881141,13
181722,-42.21109603471405,100
182505,3.8886768353358034,60
182260,2.4311725915375817,83
183263,-18.54213280976723,100
183329,-35.08220126962047,100
184154,8.775728317435506,17
184581,7.586550322796665,25
184581,-33.338881256288,100
184653,-42.74641295734181,100
187565,9.985884726329312,2
189144,9.039956480821353,26
189236,-23.15208041460477,100
189673,10.0,1
189978,7.76734528961018,54
190142,8.842598452822077,17
190419,9.992286889962001,1
191224,10.0,1
191289,-6.902227421338135,100
191655,-33.871325237753176,100
192576,-8.932772413257656,100
192946,-13.725978957515935,100
192383,-41.66250071127917,100
192964,-10.341635122245009,100
195659,6.640601595783274,40
197491,-13.239943786774594,100
197598,-4.808887418772883,100
198296,-9.897889170293372,100
198324,-9.556574314902793,100
198389,1.1918277336284504,80
198499,-27.49402770277945,100
199480,-24.3445140629526,100
199766,10.0,1
200281,2.3803518099575616,75
200559,9.76731189110052,12
200538,-0.9189391783982046,63
201281,-6.673807466026268,100
201016,-7.396156439988818,100
203940,-42.44395152319164,100
206167,-27.380066262402437,100
206279,-29.69076724853625,100
206382,-17.752661578526574,100
205985,-19.84542206480754,100
206877,-29.282052257809532,100
207576,-12.128190229677667,100
207087,-11.104707843740014,100
208183,-6.009960192932468,100
208654,-4.277391323710527,100
208922,-13.086747066867071,100
209135,-42.75834931725363,100
208951,4.44909873930291,71
209047,9.954006535626439,3
212729,9.996703381942849,1
214298,-30.2833927438536,100
214860,-12.668170227913263,100
215100,3.697102330560857,78
214528,-11.502720302589768,100
215673,-7.09107736380856,100
216056,-7.457110038908282,100
215483,-11.259768787368026,100
216607,-7.833775929107743,100
216990,-6.824613499114411,100
217228,-6.729916993271169,100
217538,-12.320025491945449,100
217356,-13.778298193779412,100
217451,-11.008274859788076,100
221306,-7.033973244187579,100
221705,-14.581845521214571,100
222853,-42.67457636475618,100
223233,10.0,1
223735,-25.690718113512013,100
223046,-28.021378829675406,100
224555,-19.453293071728115,100
223825,-14.770362286848645,100
224970,-11.319562042693404,100
225276,-8.460990436548208,100
225630,8.485289366042672,20
225750,-3.1849751468897387,100
225371,-7.410712333110395,100
226299,-9.137040718871999,100
229406,-43.01432566705782,100
230186,-18.458677891233965,100
230786,-11.632728203757003,100
231524,-15.553080814536605,100
232079,-38.96057319481028,100
231486,-42.164190774322044,100
232488,-28.468201684778535,100
232566,9.902519431906887,6
232492,-8.459251706400869,100
233609,-13.42288432529734,100
233744,-27.82108139805283,100
233899,-5.560986010854904,100
234121,-42.36945525642187,100
234280,10.0,1
237870,10.0,1
238183,9.896123127221784,7
239359,-36.64131772137401,100
239533,-9.4048230305381,100
240704,-17.68975014091274,100
240903,10.0,1
240207,-5.149708255452891,53
241091,-7.73156434368949,100
240473,-15.195619830016895,100
241830,-19.820583638179748,100
242043,6.92844506474587,27
242559,-4.557294339416321,100
242825,-6.2006893396959395,100
242927,-0.6692209625173611,97
246036,-9.510238493223369,100
246285,9.914929765004741,6
247387,-25.62546511800666,100
248151,-6.329700661397374,100
248648,4.089250861547137,47
248963,-42.088140577485234,100
248196,-10.170246329664494,100
249062,-35.73768710798697,100
249425,-32.749994594254446,100
250337,-20.078446218752426,100
250412,-10.019194797772569,100
250486,-27.79797397688216,100
250806,-15.155849208856816,100
252014,-32.64097856405838,100
254339,-9.381877240202218,100
254697,-8.030327086715856,100
